Cell	cell_type
N4_bcCIAH	Neutrophils1
N4_bcCIDP	IW3
N4_bcCIHR	Tcells
N4_bcCIIE	Erythrocyte
N4_bcCIMQ	Bcell
N4_bcCIOL	Erythrocyte
N4_bcCIPX	Recruited_macrophage
N4_bcCIRM	Neutrophils1
N4_bcCIRN	FLB2
N4_bcCISG	Neutrophils1
N4_bcCIST	Erythrocyte
N4_bcCISY	Erythrocyte
N4_bcCIXA	IW3
N4_bcCIXW	SSC
N4_bcCIYA	Erythrocyte
N4_bcCIYD	Erythrocyte
N4_bcCIYH	Erythrocyte
N4_bcCIZC	FLB2
N4_bcCIZY	Erythrocyte
N4_bcCJBI	Endo
N4_bcCJBQ	Neutrophils1
N4_bcCJEJ	Neutrophils1
N4_bcCJEL	Recruited_macrophage
N4_bcCJFQ	IW1
N4_bcCJGA	Erythrocyte
N4_bcCJGW	IW3
N4_bcCJHD	Erythrocyte
N4_bcCJIG	Erythrocyte
N4_bcCJJB	Erythrocyte
N4_bcCJMQ	IW1
N4_bcCJOF	PhagNeutrophils
N4_bcCJPS	DC
N4_bcCJTX	SSC
N4_bcCJVL	Erythrocyte
N4_bcCJYL	SSC
N4_bcCKBB	Neutrophils1
N4_bcCKBK	Erythrocyte
N4_bcCKCI	Neutrophils1
N4_bcCKDI	Erythrocyte
N4_bcCKHW	FLB2
N4_bcCKJE	IW3
N4_bcCKKW	Recruited_macrophage
N4_bcCKLK	FLB1
N4_bcCKLP	Erythrocyte
N4_bcCKMC	IW1
N4_bcCKNE	SSC
N4_bcCKQI	Erythrocyte
N4_bcCKTN	Erythrocyte
N4_bcCKTV	Schwann
N4_bcCKVD	Neutrophils1
N4_bcCKXU	Erythrocyte
N4_bcCKYW	Recruited_macrophage
N4_bcCLAS	Neutrophils1
N4_bcCLEE	Early_B
N4_bcCLEJ	Erythrocyte
N4_bcCLGA	Erythrocyte
