cell	Cell_type
i3_intact_S1_bcESMN	Myeloid
i3_intact_S1_bcESNW	Epidermal_Langerhans
i3_intact_S1_bcESTX	Proliferating_Epidermis
i3_intact_S1_bcESVU	Erythrocyte
i3_intact_S1_bcESYN	Tcells
i3_intact_S1_bcETFA	Intermediate_epidermis
i3_intact_S1_bcETJI	Erythrocyte
i3_intact_S1_bcETRN	Tcells
i3_intact_S1_bcEUKF	Intermediate_epidermis
i3_intact_S1_bcEURU	Intermediate_epidermis
i3_intact_S1_bcEUUK	Early_B
i3_intact_S1_bcEUWL	Myeloid
i3_intact_S1_bcEVIK	Proliferating_Epidermis
