cell	cell_type
S3_bcFJHN	Erythrocyte1
S3_bcFJTA	Macrophage
S3_bcFJVX	Macrophage
S3_bcFKBY	FLB4
S3_bcFKCU	FLB4
S3_bcFKGZ	FLB4
S3_bcFKPY	Macrophage
S3_bcFKUL	Erythrocyte1
S3_bcFKYR	FLB4
S3_bcFLBY	Macrophage
S3_bcFLHU	FLB4
S3_bcFLLW	Macrophage
S3_bcFLSB	Macrophage
S3_bcFLXD	FLB5
S3_bcFMJC	Macrophage
S3_bcFMLK	FLB3
S3_bcFMMC	Macrophage
S3_bcFMRW	FLB4
S3_bcFMTP	MyogenicBlastema
S3_bcFMVN	FLB4
S3_bcFMVY	Macrophage
S3_bcFMWL	Macrophage
S3_bcFMZH	FLB5
S3_bcFNAI	Macrophage
S3_bcFNCS	FLB4
S3_bcFNET	FLB4
S3_bcFNFD	Macrophage
S3_bcFNIQ	Macrophage
S3_bcFNQV	Macrophage
S3_bcFNUO	Tcell
S3_bcFNVX	Macrophage
S3_bcFNYB	FLB5
S3_bcFNYV	Macrophage
S3_bcFOAM	Erythrocyte1
S3_bcFOGD	Erythrocyte1
S3_bcFOSK	FLB4
S3_bcFPAW	Erythrocyte1
S3_bcFPDE	FLB3
S3_bcFPPG	FLB4
S3_bcFPWH	FLB4
S3_bcFQER	BasalWE
